Red,Green,Blue
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.461,0.287,0.252
0.461,0.287,0.252
0.457,0.284,0.259
0.461,0.287,0.252
0.461,0.287,0.252
0.461,0.287,0.252
0.461,0.287,0.252
0.461,0.287,0.252
0.461,0.287,0.252
0.461,0.287,0.252
0.461,0.287,0.252
0.461,0.287,0.252
0.457,0.284,0.259
0.457,0.284,0.259
0.461,0.287,0.252
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.453,0.291,0.256
0.457,0.284,0.259
0.453,0.291,0.256
0.453,0.291,0.256
0.458,0.288,0.254
0.457,0.284,0.259
0.453,0.291,0.256
0.453,0.291,0.256
0.457,0.284,0.259
0.453,0.291,0.256
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.458,0.288,0.254
0.458,0.288,0.254
0.462,0.283,0.255
0.462,0.283,0.255
0.458,0.280,0.262
0.459,0.284,0.257
0.459,0.284,0.257
0.459,0.284,0.257
0.464,0.282,0.255
0.464,0.282,0.255
0.459,0.284,0.257
0.462,0.283,0.255
0.462,0.283,0.255
0.462,0.283,0.255
0.462,0.283,0.255
0.462,0.283,0.255
0.462,0.283,0.255
0.457,0.286,0.257
0.462,0.283,0.255
0.457,0.286,0.257
0.457,0.286,0.257
0.457,0.286,0.257
0.457,0.286,0.257
0.457,0.286,0.257
0.457,0.286,0.257
0.457,0.286,0.257
0.457,0.286,0.257
0.466,0.282,0.252
0.461,0.284,0.255
0.465,0.283,0.253
0.465,0.283,0.253
0.465,0.283,0.253
0.461,0.284,0.255
0.461,0.284,0.255
0.461,0.284,0.255
0.461,0.284,0.255
0.461,0.284,0.255
0.461,0.284,0.255
0.461,0.284,0.255
0.461,0.284,0.255
0.461,0.284,0.255
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.460,0.280,0.260
0.455,0.283,0.263
0.459,0.286,0.255
0.459,0.286,0.255
0.459,0.286,0.255
0.465,0.283,0.253
0.460,0.280,0.260
0.460,0.280,0.260
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.461,0.284,0.255
0.461,0.284,0.255
0.461,0.284,0.255
0.455,0.287,0.257
0.461,0.284,0.255
0.461,0.284,0.255
0.461,0.284,0.255
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.455,0.287,0.257
0.460,0.280,0.260
0.460,0.280,0.260
0.460,0.280,0.260
0.460,0.280,0.260
0.460,0.280,0.260
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.459,0.286,0.255
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.283,0.263
0.455,0.287,0.257
0.455,0.287,0.257
0.456,0.282,0.262
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
